No.;time;;time 1;time 2;Delay;;Delay 1;Delay 2;jitter
4;8,219917;;8,219917;8,699034;0,479117;;0,478765;-0,007701;-0,486466
5;8,699034;;8,699034;8,699386;0,000352;;-0,007701;-0,258822;-0,251121
6;8,699386;;8,699386;8,707439;0,008053;;-0,258822;0,18921;0,448032
7;8,707439;;8,707439;8,974314;0,266875;;0,18921;0,077665;-0,111545
8;8,974314;;8,974314;9,051979;0,077665;;0,077665;-0,000128;-0,077793
9;9,051979;;9,051979;9,051979;0;;-0,000128;-0,144455;-0,144327
10;9,051979;;9,051979;9,052107;0,000128;;-0,144455;0,091944;0,236399
11;9,052107;;9,052107;9,19669;0,144583;;0,091944;-0,218045;-0,309989
12;9,19669;;9,19669;9,249329;0,052639;;-0,218045;0,270684;0,488729
13;9,249329;;9,249329;9,520013;0,270684;;0,270684;-0,000149;-0,270833
14;9,520013;;9,520013;9,520013;0;;-0,000149;-0,008651;-0,008502
15;9,520013;;9,520013;9,520162;0,000149;;-0,008651;-0,862857;-0,854206
16;9,520162;;9,520162;9,528962;0,0088;;-0,862857;0,796771;1,659628
17;9,528962;;9,528962;10,400619;0,871657;;0,796771;-0,033459;-0,83023
19;10,400619;;10,400619;10,475505;0,074886;;-0,033459;0,106778;0,140237
20;10,475505;;10,475505;10,58385;0,108345;;0,106778;0,001567;-0,105211
21;10,58385;;10,58385;10,585417;0,001567;;0,001567;-0,000298;-0,001865
22;10,585417;;10,585417;10,585417;0;;-0,000298;0,000298;0,000596
23;10,585417;;10,585417;10,585715;0,000298;;0,000298;-0,881866;-0,882164
24;10,585715;;10,585715;10,585715;0;;-0,881866;0,872951;1,754817
25;10,585715;;10,585715;11,467581;0,881866;;0,872951;-0,283864;-1,156815
26;11,467581;;11,467581;11,476496;0,008915;;-0,283864;0,292739;0,576603
27;11,476496;;11,476496;11,769275;0,292779;;0,292739;-0,047134;-0,339873
28;11,769275;;11,769275;11,769315;4E-05;;-0,047134;0,032866;0,08
